module_title,module_order,lesson_order,title,lesson_type,duration_seconds,is_free_preview,content_url,text_content,content_format,audio_chapters,transcript_content,map_content,documents,podcast_links,quiz_content
Getting Started,1,1,Welcome to JobHub,text,120,true,,"# Lesson 01: Welcome to JobHub

**Course:** Contractor Job Hub Guide
**Module:** Getting Started
**Duration:** ~5 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** linear (flows to Lesson 02)

---

## Narrator Script

Welcome to the Contractor Job Hub Guide — a free tutorial for the JobHub module inside CentenarianOS.

If you're an independent contractor in broadcast, production, or live events, this module was built for you. By the end of this course, you'll know how to track every job, log your hours, generate invoices, manage rate cards, build venue knowledge bases, track union memberships and dues, and compare job profitability.

Let's start with a quick tour of the Contractor Hub dashboard.

---

### What is JobHub?

JobHub is the central workspace for managing your freelance career. It lives at /dashboard/contractor and is also available as a standalone app at contractor.centenarianos.com.

The hub has several core areas:

**Jobs** — Track every gig from assignment through payment. Each job stores the client, event, venue, dates, pay rates, department, and union local. Jobs flow through statuses: assigned → confirmed → in_progress → completed → invoiced → paid.

**Time Entries** — Log your hours per work day on each job. The system auto-calculates straight time, overtime, and double time based on an 8-hour threshold.

**Rate Cards** — Save reusable rate presets by client, union, and department. Apply them to new jobs with one click.

**Invoices** — Generate invoices directly from your time entries. Line items are auto-calculated from your rates and hours.

**Venues** — Build a knowledge base for every venue you work at: parking, load-in, WiFi, power, catering, security.

**City Guides** — Community-contributed restaurant, hotel, and coffee shop recommendations for cities you travel to.

**Union Tools** — Upload and chat with your union contracts, track memberships across multiple locals, and stay on top of dues payments.

**Reports** — Earnings by client, 1099 tracking, mileage totals, and job comparison.

---

### What's Next

In the next lesson, we'll create your first job. That's the foundation — time entries, invoices, and reports all flow from your job records.

After that, you'll have five topic areas to explore in any order: Jobs & Time Entries, Invoices & Rate Cards, Venues & City Guides, Union Tools, and Reports & Collaboration.
",markdown,,,,,,
Getting Started,1,2,Creating Your First Job,text,120,true,,"# Lesson 02: Creating Your First Job

**Course:** Contractor Job Hub Guide
**Module:** Jobs & Time Entries
**Duration:** ~6 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

Jobs are the backbone of JobHub. Every time you get booked for a gig, you create a job record. Everything else — time entries, invoices, expenses, mileage — links back to that job.

---

### Creating a Job

Navigate to Dashboard → Jobs → New Job. Here's what you'll fill in:

**Client** — The network or production company (CBS Sports, ESPN, Fox Sports, etc.). If you've saved them as a contact, start typing and the autocomplete will match. Selecting a saved contact links the job for reporting later.

**Event Name** — What you're working (e.g., ""Colts vs Dolphins"", ""NFL Draft Combine 2026"", ""B1G Women's Basketball Tournament"").

**Location** — The venue. If you've saved venue locations, select from the dropdown. The venue's knowledge base info will be available from the job detail page.

**Dates** — Start and end date. For multi-day events, toggle ""Multi-day"" and optionally specify non-consecutive scheduled dates using the date picker.

**Pay Rates** — Standard time (ST), overtime (OT), and double time (DT) hourly rates. If you have a rate card saved for this client/union, select it to auto-fill these fields.

**Rate Type** — Hourly, daily, or flat rate.

**Department** — Camera, Audio, Utility, Graphics, etc.

**Union Local** — If it's a union gig, enter the local (e.g., ""IATSE 317"").

**Notes** — Any additional info about the job.

---

### Job Statuses

Jobs move through a lifecycle:

- **Assigned** — You've been booked but haven't confirmed
- **Confirmed** — You've confirmed you'll work it
- **In Progress** — You're currently on the job
- **Completed** — Work is done, ready for invoicing
- **Invoiced** — Invoice has been generated and sent
- **Paid** — Payment received
- **Cancelled** — Job fell through

You can update the status from the job detail page at any time.

---

### Key Takeaways

- Every job needs at minimum a client name, event name, and dates
- Linking saved contacts enables earnings-by-client reporting
- Rate cards save time when you work the same client/union regularly
- Multi-day jobs support non-consecutive scheduling
",markdown,,,,,,
Jobs & Time Entries,2,3,Time Entries and Hour Logging,text,120,true,,"# Lesson 03: Time Entries and Hour Logging

**Course:** Contractor Job Hub Guide
**Module:** Jobs & Time Entries
**Duration:** ~5 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

Once you've created a job, the next step is logging your hours. Time entries are the raw data that invoices are built from.

---

### Adding a Time Entry

From any job detail page, click the Time Entries tab, then Add Entry. Each entry represents one work day:

**Work Date** — The calendar date you worked. Each job can only have one time entry per date.

**Time In / Time Out** — Clock-in and clock-out times. Optional — you can just enter hours directly if you prefer.

**Break Minutes** — Meal breaks or other unpaid time. Defaults to 30 minutes.

**Hours Breakdown** — The system auto-calculates:
- **ST (Standard Time)** — First 8 hours
- **OT (Overtime)** — Hours 8-12 (typically 1.5x rate)
- **DT (Double Time)** — Hours beyond 12 (typically 2x rate)

You can also manually adjust the ST/OT/DT split if your union contract has different thresholds.

**Meal Provided** — Toggle if the venue provided meals (affects benefit calculations).

---

### Editing and Deleting Entries

Click any entry to edit it. The hours recalculate automatically when you change times. Delete an entry if it was logged in error — this won't affect any already-generated invoices (they're separate records).

---

### Tips for Multi-Day Jobs

For events like the NFL Combine (7+ days), you'll have one entry per work day. The job detail page shows a running total of all hours across all entries, broken down by ST/OT/DT. This is what the invoice generator uses.

---

### Key Takeaways

- One time entry per work date per job (enforced by unique constraint)
- Auto-calculates ST/OT/DT from 8-hour threshold
- Break minutes are subtracted from total hours
- Multi-day jobs accumulate entries that feed into invoice generation
",markdown,,,,,,
Jobs & Time Entries,2,4,Job Documents and Uploads,text,120,true,,"# Lesson 04: Job Documents and Uploads

**Course:** Contractor Job Hub Guide
**Module:** Jobs & Time Entries
**Duration:** ~4 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

Every job comes with paperwork — call sheets, crew lists, W9s, contracts, venue schematics. The Documents tab on each job lets you upload and organize all of it.

---

### Uploading Documents

From the job detail page, click the Documents tab, then Upload. Select a file and choose a document type:

- **Call Sheet** — Daily schedule with positions, call times, locations
- **Crew List** — Who's working the event and their roles
- **W9** — Tax form for the client
- **Certificate** — Insurance certificates, union cards
- **Contract** — Work agreements, deal memos
- **Receipt** — Expense receipts related to the job
- **Schematic** — Venue floor plans, camera plots, rigging diagrams
- **Map** — Venue maps, parking guides
- **Other** — Anything else

Files are uploaded to Cloudinary and the URL is stored with your job record.

---

### Sharing Documents

Toggle ""Shared"" on any document to make it visible to other contractors who've worked at the same venue. This is great for venue schematics and parking maps that benefit everyone on the crew.

---

### Key Takeaways

- Organize job paperwork by type for easy retrieval
- Share venue-specific documents with other contractors
- All files stored securely via Cloudinary
",markdown,,,,,,
Jobs & Time Entries,2,5,Generating Invoices from Time Entries,text,120,true,,"# Lesson 05: Generating Invoices from Time Entries

**Course:** Contractor Job Hub Guide
**Module:** Invoices & Rate Cards
**Duration:** ~6 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

Getting paid starts with a clean invoice. JobHub can generate invoices automatically from your time entries — no spreadsheet needed.

---

### How Invoice Generation Works

From a job detail page, click Generate Invoice. The system:

1. Looks up the job's pay rates (ST, OT, DT)
2. Sums all time entries: total ST hours, OT hours, DT hours
3. Creates line items: ""Standard Time (40h x $65)"" = $2,600
4. If the job has travel benefits (meal allowance, per diem, mileage rate), those are added as benefit line items
5. Sets the invoice as a ""receivable"" — money owed to you
6. Links the invoice to the job via job_id

The invoice appears in your Finance → Invoices module with status ""draft"". From there you can:

- Edit line items or add custom ones
- Change the due date (default: 30 days from job end)
- Send it (changes status to ""sent"")
- Mark it paid when payment arrives

---

### Invoice Details

Each generated invoice includes:
- **Invoice number** — Auto-generated from job number (e.g., INV-J-230000)
- **Client name** — From the job record
- **Issue date** — Job end date
- **Due date** — 30 days after issue
- **Line items** — ST, OT, DT hours with rates and totals
- **Job link** — Click through to the original job

---

### Linking to Finance

Generated invoices live in the main Finance → Invoices module. When you mark an invoice as paid, you can optionally create a linked financial transaction to track the income in your accounts. This feeds into your 1099 tracking and earnings reports.

---

### Key Takeaways

- One-click invoice generation from time entries
- Line items auto-calculated from job rates × logged hours
- Invoices integrate with the Finance module for full income tracking
- Keep job rates accurate — they directly determine invoice amounts
",markdown,,,,,,
Invoices & Rate Cards,3,6,Rate Cards,text,120,true,,"# Lesson 06: Rate Cards

**Course:** Contractor Job Hub Guide
**Module:** Invoices & Rate Cards
**Duration:** ~4 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

If you work with the same clients and unions regularly, you don't want to type your rates every time you create a job. Rate cards solve this.

---

### What is a Rate Card?

A rate card is a saved preset with your pay rates for a specific client, union, and department. For example:

- **CBS Camera Op** — IATSE 317, Camera dept, $65/hr ST, $97.50 OT, $130 DT
- **ESPN Camera Op** — IATSE 317, Camera dept, $70/hr ST, $105 OT, $140 DT
- **BTN Utility** — No union, Utility dept, $45/hr ST, $67.50 OT, $90 DT

### Creating a Rate Card

Go to Dashboard → Rate Cards → New. Fill in:
- **Name** — Descriptive label (client + role)
- **Union Local** — Optional
- **Department** — Camera, Audio, Utility, etc.
- **Rate Type** — Hourly, daily, or flat
- **ST / OT / DT Rates** — Your standard, overtime, and double time hourly rates
- **Benefits** — Optional predefined benefit items (meal allowance, per diem)
- **Travel Benefits** — Mileage rate, meal allowance, per diem amounts

### Using Rate Cards

When creating a new job, select a rate card from the dropdown. All rate fields auto-fill. The use_count increments so your most-used cards sort to the top.

---

### Key Takeaways

- Rate cards eliminate repetitive data entry
- Store rates per client/union/department combination
- Most-used cards float to the top of the list
- Benefits and travel benefits can be included in the preset
",markdown,,,,,,
Invoices & Rate Cards,3,7,Pay Stub Scanning,text,120,true,,"# Lesson 07: Pay Stub Scanning

**Course:** Contractor Job Hub Guide
**Module:** Invoices & Rate Cards
**Duration:** ~4 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

Sometimes you receive a pay stub or earnings statement instead of generating your own invoice. JobHub can scan it and extract the data for you.

---

### How Pay Stub Scanning Works

From a job detail page, click Scan Pay Stub. You can:

1. **Take a photo** of a paper pay stub using your phone camera
2. **Upload a screenshot** of a digital pay stub or earnings report

The image is sent to Gemini Vision, which extracts:
- Hours worked (ST, OT, DT)
- Pay rates
- Gross and net amounts
- Benefits and deductions
- Date range

### Review Before Saving

The extracted data is shown in a preview form. Review and correct any values before saving. Once confirmed, the data pre-fills a time entry and optionally creates a matching invoice record.

This uses the same AI-powered scanning engine as the Smart Scan module — the same technology that reads fuel receipts and documents.

---

### Key Takeaways

- Photograph or screenshot any pay stub to extract data
- AI extracts hours, rates, and benefits automatically
- Always review extracted values before saving
- Great for reconciling what you were paid versus what you invoiced
",markdown,,,,,,
Invoices & Rate Cards,3,8,Venue Knowledge Base,text,120,true,,"# Lesson 08: Venue Knowledge Base

**Course:** Contractor Job Hub Guide
**Module:** Venues & City Guides
**Duration:** ~5 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

You've been to Lucas Oil Stadium a dozen times. You know exactly where to park, which dock to use for load-in, and that the WiFi password changes monthly. But does your replacement know any of that? The Venue Knowledge Base keeps all that institutional knowledge organized and shareable.

---

### Accessing Venue Info

Go to Dashboard → Venues to see all venues you've worked. Each venue is a contact location tied to a client contact. Click a venue to see its detail page.

### Knowledge Base Fields

Each venue can store structured information:

- **Parking** — Directions, cost, crew validation, gate access times
- **Load-In** — Dock location, freight elevators, badge requirements
- **WiFi** — Network name, password policy, restrictions
- **Power** — Available circuits, distro locations, adapter needs
- **Catering** — Location, hours, dietary options
- **Security** — Check-in process, credential pickup, bag search policy
- **Custom** — Any additional key-value notes specific to this venue

### Venue Schematics

Upload floor plans, camera plots, rigging diagrams, or parking maps via the Schematics upload. Files are stored in Cloudinary and accessible from the venue detail page.

### Sharing with the Crew

Toggle ""Shared"" on a venue to make your knowledge base entries visible to other contractors who've worked at the same location. This builds a community resource over time.

---

### Key Takeaways

- Store parking, WiFi, power, catering, and security info per venue
- Upload schematics and floor plans
- Share venue knowledge with other contractors
- Great for onboarding replacements or first-timers at a venue
",markdown,,,,,,
Venues & City Guides,4,9,City Guides,text,120,true,,"# Lesson 09: City Guides

**Course:** Contractor Job Hub Guide
**Module:** Venues & City Guides
**Duration:** ~4 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

When you travel to a new city for a gig, you want to know the good restaurants, which hotel is close to the venue, and where to find decent coffee at 5 AM. City Guides are your crew's collective travel wisdom.

---

### Creating a City Guide

Go to Dashboard → Cities → New Guide. Enter the city name, state, and region. Add a description (e.g., ""Regularly work Colts and Pacers games here"").

### Adding Entries

Each guide contains categorized entries:

- **Restaurant** — Where to eat (name, address, rating 1-5, price range 1-4, notes)
- **Hotel** — Where to stay (proximity to venue, amenities, crew rates)
- **Coffee** — Early morning spots near the venue
- **Gym** — Day pass options for staying active on the road
- **Grocery** — Stock up on meal prep supplies
- **Entertainment** — What to do on off days
- **Transport** — Ride share tips, rental car agencies, parking hacks
- **Other** — Anything else worth noting

### Community Sharing

Toggle ""Shared"" on your city guide to make it visible to all platform users. Other contractors can contribute their own entries too. Over time, popular work cities build rich, crew-curated travel guides.

---

### Key Takeaways

- Build restaurant/hotel/coffee/gym guides for every city you travel to
- Rate and annotate entries with insider tips
- Share guides with the community for collective benefit
- Great for planning travel logistics before you arrive
",markdown,,,,,,
Venues & City Guides,4,10,Union Contract Chat (RAG),text,120,true,,"# Lesson 10: Union Contract Chat (RAG)

**Course:** Contractor Job Hub Guide
**Module:** Union Tools
**Duration:** ~6 min
**Lesson type:** text / video
**is_free_preview:** true
**CYOA navigation:** cyoa

---

## Narrator Script

Union contracts are dense documents. Finding the answer to ""What's my meal penalty after 6 hours?"" can mean flipping through 80 pages of legalese. The Union Contract Chat uses AI to search your uploaded contracts and give you quick answers.

---

### Uploading a Contract

Go to Dashboard → Union. Click Upload Document. Select your union contract, bylaws, rate sheet, or work rules (PDF or text file). Choose the document type and enter the union local.

The system extracts the text, splits it into chunks, and generates semantic embeddings. This process takes a few moments — you'll see the status change from ""processing"" to ""ready"".

### Chatting with Your Contracts

Switch to the Chat tab. Type a question in plain language:

- ""What's the OT threshold for IATSE 317 Indiana?""
- ""What are my meal penalty rights?""
- ""How much notice is required for a call time change?""
- ""What's the minimum crew call?""

The AI searches your uploaded documents for relevant sections, then generates an answer based on the actual contract language.

### Important Disclaimer

Every response includes a mandatory disclaimer: **""This is an AI-generated summary for reference only. It is not legal advice. Always consult your union representative or the official contract document for authoritative answers.""**

The AI is a research tool, not a legal advisor. Always verify important decisions against the original document.

### Community Submissions

You can submit documents to the platform admin for inclusion in a shared knowledge base. Go to Union → Submit to Community. Upload the document with details, and the admin will review and approve or reject it. Approved documents become searchable by all users.

---

### Key Takeaways

- Upload union contracts, bylaws, and rate sheets for AI-powered search
- Ask questions in plain language, get answers from your actual documents
- Always verify AI answers against the original contract
- Submit documents to the community for shared benefit
",markdown,,,,,,
