title,slug,excerpt,visibility,tags,video_url,content
"Maggie Lena Walker: The Woman Who Built a Bank","maggie-lena-walker-built-a-bank-finance-module","How the first Black woman to charter a bank in the U.S. championed the same financial literacy CentenarianOS Finance brings to your fingertips.","draft","women's history month|black history|centenarian stories|finance","","## Maggie Lena Walker: The Woman Who Built a Bank

In 1903, Maggie Lena Walker became the first Black woman to charter and preside over a bank in the United States — St. Luke Penny Savings Bank in Richmond, Virginia.

Born in 1864 to a formerly enslaved woman, Walker understood that economic independence was the foundation of freedom. She joined the Independent Order of St. Luke, a Black mutual aid society, and rose to lead it. Under her direction, the organization launched a newspaper, a department store, and the bank that would serve Richmond's Black community for decades.

Walker didn't just open accounts. She taught families how to save, how to build credit, and how to buy homes. She turned financial literacy into a community movement — long before the term existed.

### The Connection to CentenarianOS Finance

CentenarianOS Finance lets you track transactions across checking, savings, credit, and cash accounts. You can set budgets, monitor spending trends, and link transactions to the rest of your life through activity links and life categories.

Walker would have loved it. The tools she fought to give her community — visibility into money, control over spending, a path to ownership — are exactly what this module puts in your hands every day.

### Try It Today

Open the Finance module and add your first account. Track a week of spending. See where your money goes. That's the first step Walker taught her community — and it's still the most powerful one."
"Edna Lewis: The Chef Who Preserved a Culture","edna-lewis-preserved-a-culture-recipes-module","How the pioneering chef who elevated Southern Black cuisine connects to CentenarianOS Recipes and the power of preserving food traditions.","draft","women's history month|black history|centenarian stories|recipes","","## Edna Lewis: The Chef Who Preserved a Culture

Edna Lewis didn't just cook. She documented a world.

Born in 1916 in Freetown, Virginia — a community founded by formerly enslaved people, including her grandfather — Lewis grew up eating food that followed the seasons, the soil, and the wisdom of generations. Her landmark cookbook, *The Taste of Country Cooking* (1976), captured those recipes and rituals in exquisite detail.

She went on to cook at some of New York's finest restaurants, including Cafe Nicholson, where her simple, perfect food attracted artists, writers, and celebrities. But her greatest contribution was elevating Southern Black foodways from ""soul food"" to recognized American cuisine.

### The Connection to CentenarianOS Recipes

CentenarianOS Recipes lets you save, organize, import, and share recipes — preserving your own food traditions the way Lewis preserved hers. You can import recipes from any URL, tag them by category, and build a personal cookbook that tells your story.

Lewis wrote her recipes down because she knew that food is memory. Every recipe you save in CentenarianOS is a piece of your story, preserved for the future.

### Try It Today

Import a family recipe or save one you've been meaning to write down. Tag it with a life category. Start building your own *Taste of Country Cooking*."
"Wilma Rudolph: Three Golds After Polio","wilma-rudolph-three-golds-fitness-workouts","How the first American woman to win three Olympic golds at a single Games connects to CentenarianOS Workouts and the discipline of training.","draft","women's history month|black history|centenarian stories|workouts","","## Wilma Rudolph: Three Golds After Polio

At age four, Wilma Rudolph contracted polio and lost the use of her left leg. Doctors said she might never walk again.

By age 20, she was the fastest woman on Earth.

At the 1960 Rome Olympics, Rudolph became the first American woman to win three gold medals in a single Games — the 100m, 200m, and 4x100m relay. She didn't just win; she dominated, crossing the finish line so far ahead that the world took notice.

Her path was anything but easy. She wore a leg brace until age 12. She trained relentlessly, running barefoot on Tennessee dirt roads. She turned adversity into fuel and discipline into destiny.

### The Connection to CentenarianOS Workouts

CentenarianOS Workouts lets you build training programs, track every set and rep, log how you feel, and share routines with the community. The module supports circuits, supersets, tempo training, RPE tracking — all the tools that turn intention into progress.

Rudolph didn't have an app. But she had a system: show up, train harder than yesterday, track what works. That's exactly what the Workouts module helps you do.

### Try It Today

Create a workout template for your next training session. Log it when you're done. Track your progress over time. Every rep is a step forward — just ask Wilma."
"Rebecca Lee Crumpler: The First Black Woman Doctor","rebecca-lee-crumpler-first-doctor-health-metrics-module","How the first Black woman to earn a medical degree in the U.S. pioneered the preventive health monitoring CentenarianOS Health Metrics brings to everyone.","draft","women's history month|black history|centenarian stories|health metrics","","## Rebecca Lee Crumpler: The First Black Woman Doctor

In 1864, in the middle of the Civil War, Rebecca Lee Crumpler earned her medical degree from the New England Female Medical College — becoming the first Black woman to earn an M.D. in the United States.

After the war, she moved to Richmond, Virginia, to provide medical care to freed enslaved people who had no access to healthcare. She worked with the Freedmen's Bureau, treating patients who had been denied medicine their entire lives.

In 1883, she published *A Book of Medical Discourses* — one of the first medical texts by a Black author — focused on the health of women and children. Her approach was preventive: she taught patients to monitor their own health, eat well, and recognize early warning signs.

### The Connection to CentenarianOS Health Metrics

CentenarianOS Health Metrics tracks resting heart rate, sleep, steps, activity, and body composition — the proactive health monitoring Dr. Crumpler advocated 150 years ago. You can sync data from Oura, WHOOP, Garmin, and Apple Health, or import from CSV.

Dr. Crumpler believed everyone deserved to understand their own body. Health Metrics puts that power in your hands with trends, correlations, and insights across every vital sign you track.

### Try It Today

Connect a wearable or log a health metric manually. Watch the trends build over time. Dr. Crumpler would be proud."
"Bessie Coleman: The Woman Who Learned to Fly","bessie-coleman-learned-to-fly-travel-module","How the first Black woman to earn a pilot's license connects to CentenarianOS Travel and the logistics of movement.","draft","women's history month|black history|centenarian stories|travel","","## Bessie Coleman: The Woman Who Learned to Fly

Every American flight school rejected Bessie Coleman. So she taught herself French and went to France.

In 1921, Coleman became the first Black woman — and the first Native American woman — to hold an international pilot's license. She earned it at the Caudron Brothers' School of Aviation in Le Crotoy, France, after no U.S. school would accept a Black woman.

She returned to America as a barnstorming stunt pilot, performing aerial tricks at air shows across the country. She refused to perform at any venue that segregated its audience. She dreamed of opening a flight school for Black aviators — a dream cut short when she died in a plane accident in 1926 at age 34.

### The Connection to CentenarianOS Travel

CentenarianOS Travel tracks trips, routes, fuel logs, and vehicle maintenance — managing the logistics of movement. You can log multi-stop routes, calculate CO2 emissions, track round trips, and link travel to your finances automatically.

Coleman mastered the ultimate form of travel in an era when simply boarding a plane was revolutionary for a Black woman. The Travel module helps you master yours — whether it's a daily commute or an adventure across the country.

### Try It Today

Log your next trip in the Travel module. Track the route, the fuel, the cost. Every journey starts with a single step — or in Bessie's case, a single takeoff."
"Shirley Chisholm: Unbought and Unbossed","shirley-chisholm-unbought-unbossed-planner-module","How the first Black woman elected to Congress connects to CentenarianOS Planner and the power of strategic daily planning.","draft","women's history month|black history|centenarian stories|planner","","## Shirley Chisholm: Unbought and Unbossed

In 1968, Shirley Chisholm became the first Black woman elected to the United States Congress. In 1972, she became the first Black candidate for a major-party presidential nomination.

Her motto — ""Unbought and Unbossed"" — wasn't a slogan. It was a strategy. Chisholm was a meticulous planner who built coalitions across race, gender, and class. She authored over 50 pieces of legislation championing education, employment, and social justice.

She didn't wait for permission. She made a plan and executed it — every single day.

### The Connection to CentenarianOS Planner

CentenarianOS Planner manages daily tasks, milestones, roadmaps, and goals. You can organize work by priority, link tasks to contacts and locations, and track progress toward long-term objectives.

Chisholm's political career was built on the same discipline: break big goals into daily actions, track what matters, and never lose sight of the roadmap. The Planner module gives you that same strategic framework.

### Try It Today

Open the Planner and set a milestone for something you've been putting off. Break it into daily tasks. Start tomorrow. Chisholm didn't wait — neither should you."
"Mary McLeod Bethune: $1.50 and Five Students","mary-mcleod-bethune-education-academy-module","How the educator who built a university from almost nothing connects to CentenarianOS Academy and the mission of accessible education.","draft","women's history month|black history|centenarian stories|academy","","## Mary McLeod Bethune: $1.50 and Five Students

In 1904, Mary McLeod Bethune started a school with $1.50 and five students. It became Bethune-Cookman University.

Born in 1875 to parents who had been enslaved, Bethune believed education was the key to everything — freedom, dignity, economic power. She fundraised relentlessly, built dormitories, hired teachers, and created a curriculum that prepared Black students for the world as it was and the world as it should be.

She served as advisor to President Franklin D. Roosevelt, founded the National Council of Negro Women, and became one of the most influential educators of the 20th century.

### The Connection to CentenarianOS Academy

CentenarianOS Academy hosts courses, modules, and lessons with CYOA navigation, rich text content, and progress tracking. Teachers can create and sell courses, and students can learn at their own pace.

Bethune built a university from nothing because she believed everyone deserved to learn. Academy continues that mission — making education accessible, organized, and personal.

### Try It Today

Browse the Academy catalog and start a course. Or if you're a teacher, create one. Bethune started with $1.50. You can start with a click."
"Madam C.J. Walker: America's First Self-Made Female Millionaire","madam-cj-walker-self-made-engine-module","How the entrepreneur who built a haircare empire connects to CentenarianOS Engine and the operational discipline of daily productivity.","draft","women's history month|black history|centenarian stories|engine","","## Madam C.J. Walker: America's First Self-Made Female Millionaire

Born Sarah Breedlove in 1867 to parents who had been enslaved, Madam C.J. Walker built a haircare empire that made her one of the first American women to become a self-made millionaire.

She developed products, built a factory, trained thousands of sales agents across the country, and ran a vertically integrated business — manufacturing, marketing, and distribution — all while advocating for Black economic empowerment and donating generously to civil rights causes, schools, and orphanages.

Walker didn't just work hard. She worked *smart*. She had systems for everything: production schedules, agent training, territory management, financial tracking.

### The Connection to CentenarianOS Engine

CentenarianOS Engine drives daily productivity with focus sessions, task prioritization, and analytics. It helps you identify your most productive patterns, protect your deep work time, and review your output.

Walker scaled a business from a washboard to a national empire using the same operational discipline the Engine module brings to your daily work. Systems beat hustle every time.

### Try It Today

Start a focus session in the Engine. Set your intention, work without distraction, and review what you accomplished. Walker built an empire one disciplined day at a time."
"Mae C. Jemison: First Black Woman in Space","mae-jemison-first-in-space-equipment-module","How the astronaut and engineer who orbited Earth connects to CentenarianOS Equipment and the discipline of tracking mission-critical gear.","draft","women's history month|black history|centenarian stories|equipment","","## Mae C. Jemison: First Black Woman in Space

On September 12, 1992, Dr. Mae C. Jemison became the first Black woman to travel in space aboard the Space Shuttle Endeavour.

A physician, engineer, and former Peace Corps medical officer, Jemison conducted bone cell research experiments during her eight days in orbit. After leaving NASA, she founded the Jemison Group to advance technology for daily life and launched the 100 Year Starship project to promote interstellar travel research.

Jemison has said that what kept her alive in space wasn't just training — it was knowing every piece of equipment on that shuttle, where it was, what it did, and whether it was working.

### The Connection to CentenarianOS Equipment

CentenarianOS Equipment tracks your gear — purchases, valuations, maintenance, and depreciation over time. You can link equipment to transactions, tag it with life categories, and see the full lifecycle of everything you own.

Aboard a spacecraft, every piece of equipment is mission-critical. In your life, knowing what you have, what it's worth, and when it needs attention is the same discipline — just at a different altitude.

### Try It Today

Add a piece of equipment you rely on daily. Log its purchase price and current value. Link it to a transaction. Start managing your gear like an astronaut manages a shuttle."
"Ida B. Wells: The Pen as a Weapon","ida-b-wells-pen-as-weapon-blog-module","How the investigative journalist who exposed racial terror connects to CentenarianOS Blog and the power of publishing your truth.","draft","women's history month|black history|centenarian stories|blog","","## Ida B. Wells: The Pen as a Weapon

Ida B. Wells didn't wait for someone else to tell the truth. She published it herself.

Born in 1862 in Holly Springs, Mississippi, Wells became one of the most important investigative journalists in American history. Her groundbreaking reports on lynching — including *Southern Horrors* (1892) and *The Red Record* (1895) — used data, firsthand accounts, and unflinching prose to expose racial terror.

She co-founded the NAACP, led anti-lynching campaigns in the U.S. and abroad, and used the written word as her primary weapon for justice. She was a blogger before blogs existed — self-publishing pamphlets and buying a stake in the *Memphis Free Speech* newspaper to ensure her voice couldn't be silenced.

### The Connection to CentenarianOS Blog

CentenarianOS Blog gives you a publishing platform with rich text editing, tags, scheduled visibility, cover images, social embeds, and reading analytics. You can draft posts, schedule them for future publication, and track how your words reach people.

Wells understood that publishing is power. The Blog module puts that power in your hands — no newspaper stake required.

### Try It Today

Write a draft about something you care about. You don't have to publish it today. But write it down. Wells taught us that the first step to changing the world is putting the truth on paper."
